ts_date,name_city,name_zone,price_contract
2020-01-01,Belo Horizonte,Centro Sul,6115.079365079366
2020-01-01,Belo Horizonte,Leste,4264.70588235294
2020-01-01,Belo Horizonte,Nordeste,4148.14814814815
2020-01-01,Belo Horizonte,Noroeste,3901.9943276459753
2020-01-01,Belo Horizonte,Oeste,4458.3604424203
2020-01-01,Belo Horizonte,Pampulha,4267.857142857145
2020-01-01,São Paulo,Centro,6666.66666666667
2020-01-01,São Paulo,Centro Oeste,11706.89655172414
2020-01-01,São Paulo,Centro Sul,9046.51162790698
2020-04-01,Belo Horizonte,Centro Sul,5362.31884057971
2020-04-01,Belo Horizonte,Leste,4220.77922077922
2020-04-01,Belo Horizonte,Nordeste,4388.004895960836
2020-04-01,Belo Horizonte,Noroeste,3822.58064516129
2020-04-01,Belo Horizonte,Oeste,3969.69696969697
2020-04-01,Belo Horizonte,Pampulha,4250
2020-04-01,São Paulo,Centro,5652.254249815225
2020-04-01,São Paulo,Centro Oeste,7534.24657534247
2020-04-01,São Paulo,Centro Sul,9619.277108433736
2020-04-01,São Paulo,Leste I,6453.15734989648
2020-04-01,São Paulo,Oeste,4948.71794871795
2020-07-01,Belo Horizonte,Centro Sul,5914.545454545455
2020-07-01,Belo Horizonte,Leste,4527.77777777778
2020-07-01,Belo Horizonte,Nordeste,4369.04761904762
2020-07-01,Belo Horizonte,Noroeste,3375
2020-07-01,Belo Horizonte,Oeste,4406.89655172414
2020-07-01,Belo Horizonte,Pampulha,4334.963816671136
2020-07-01,Rio de Janeiro,Centro,5333.33333333333
2020-07-01,Rio de Janeiro,Norte,4014.4654088050343
2020-07-01,Rio de Janeiro,Oeste,5384.61538461539
2020-07-01,Rio de Janeiro,Sul,9569.85294117645
2020-07-01,São Paulo,Centro,6865.67164179105
2020-07-01,São Paulo,Centro Oeste,8400
2020-07-01,São Paulo,Centro Sul,7916.66666666667
2020-07-01,São Paulo,Leste I,6000
2020-07-01,São Paulo,Leste II,3339.814814814815
2020-07-01,São Paulo,Norte,5543.75
2020-07-01,São Paulo,Oeste,5204.166666666665
2020-07-01,São Paulo,Sul,5866.66666666667
2020-10-01,Belo Horizonte,Barreiro,4384
2020-10-01,Belo Horizonte,Centro Sul,6666.66666666667
2020-10-01,Belo Horizonte,Leste,4836.36363636364
2020-10-01,Belo Horizonte,Nordeste,4832.1678321678355
2020-10-01,Belo Horizonte,Noroeste,4120.772946859905
2020-10-01,Belo Horizonte,Norte,2847.22222222222
2020-10-01,Belo Horizonte,Oeste,4815.888554216865
2020-10-01,Belo Horizonte,Pampulha,4489.79591836735
2020-10-01,Rio de Janeiro,Centro,5307.7464788732395
2020-10-01,Rio de Janeiro,Norte,4800
2020-10-01,Rio de Janeiro,Oeste,4430.195663670014
2020-10-01,Rio de Janeiro,Sul,10500
2020-10-01,São Paulo,Centro,6794.8717948718
2020-10-01,São Paulo,Centro Oeste,8642.005157962605
2020-10-01,São Paulo,Centro Sul,8214.28571428571
2020-10-01,São Paulo,Leste I,5800
2020-10-01,São Paulo,Leste II,4166.66666666667
2020-10-01,São Paulo,Norte,5359.375
2020-10-01,São Paulo,Oeste,5319.786096256685
2020-10-01,São Paulo,Sul,6300
2021-01-01,Belo Horizonte,Centro Sul,6618.84236453202
2021-01-01,Belo Horizonte,Leste,4256.147540983605
2021-01-01,Belo Horizonte,Nordeste,4442.008486562945
2021-01-01,Belo Horizonte,Noroeste,4305.263157894735
2021-01-01,Belo Horizonte,Norte,3937.5
2021-01-01,Belo Horizonte,Oeste,4875
2021-01-01,Belo Horizonte,Pampulha,4591.414944356125
2021-01-01,Rio de Janeiro,Centro,4210.52631578947
2021-01-01,Rio de Janeiro,Norte,3485.29411764706
2021-01-01,Rio de Janeiro,Oeste,5227.27272727273
2021-01-01,Rio de Janeiro,Sul,10650
2021-01-01,São Paulo,Centro,6913.832199546485
2021-01-01,São Paulo,Centro Oeste,9285.71428571429
2021-01-01,São Paulo,Centro Sul,8098.599137931034
2021-01-01,São Paulo,Leste I,5707.142857142855
2021-01-01,São Paulo,Leste II,4736.84210526316
2021-01-01,São Paulo,Norte,5657.142857142855
2021-01-01,São Paulo,Oeste,5274.436090225565
2021-01-01,São Paulo,Sul,6155.4252199413495
2021-04-01,Belo Horizonte,Centro Sul,6591.666666666665
2021-04-01,Belo Horizonte,Leste,4374.879413467105
2021-04-01,Belo Horizonte,Nordeste,4555.555555555555
2021-04-01,Belo Horizonte,Noroeste,4233.766233766235
2021-04-01,Belo Horizonte,Norte,3267.906976744185
2021-04-01,Belo Horizonte,Oeste,4439.895470383275
2021-04-01,Belo Horizonte,Pampulha,4625
2021-04-01,Rio de Janeiro,Centro,5400
2021-04-01,Rio de Janeiro,Norte,3355.855855855855
2021-04-01,Rio de Janeiro,Oeste,5131.57894736842
2021-04-01,Rio de Janeiro,Sul,10000
2021-04-01,São Paulo,Centro,6929.82456140351
2021-04-01,São Paulo,Centro Oeste,9500
2021-04-01,São Paulo,Centro Sul,7834.577114427861
2021-04-01,São Paulo,Leste I,5955.11627906977
2021-04-01,São Paulo,Leste II,4586.81408681409
2021-04-01,São Paulo,Norte,5464.285714285716
2021-04-01,São Paulo,Oeste,5625
2021-04-01,São Paulo,Sul,5806.45161290323
2021-07-01,Belo Horizonte,Centro Sul,6055.059523809525
2021-07-01,Belo Horizonte,Leste,4428.57142857143
2021-07-01,Belo Horizonte,Nordeste,4421.05263157895
2021-07-01,Belo Horizonte,Noroeste,3933.33333333333
2021-07-01,Belo Horizonte,Norte,3500
2021-07-01,Belo Horizonte,Oeste,4680.85106382979
2021-07-01,Belo Horizonte,Pampulha,4375
2021-07-01,Rio de Janeiro,Centro,5200
2021-07-01,Rio de Janeiro,Norte,3589.74358974359
2021-07-01,Rio de Janeiro,Oeste,5187.5
2021-07-01,Rio de Janeiro,Sul,10000
2021-07-01,São Paulo,Centro,6959.45945945946
2021-07-01,São Paulo,Centro Oeste,9183.67346938776
2021-07-01,São Paulo,Centro Sul,8250
2021-07-01,São Paulo,Leste I,5795.45454545455
2021-07-01,São Paulo,Leste II,4142.65536723164
2021-07-01,São Paulo,Norte,5510.28735632184
2021-07-01,São Paulo,Oeste,5729.16666666667
2021-07-01,São Paulo,Sul,5176.296296296296
2021-10-01,Belo Horizonte,Centro Sul,5600
2021-10-01,Belo Horizonte,Leste,4512.19512195122
2021-10-01,Belo Horizonte,Nordeste,4527.02702702703
2021-10-01,Belo Horizonte,Noroeste,3801.20481927711
2021-10-01,Belo Horizonte,Norte,3566.176470588235
2021-10-01,Belo Horizonte,Oeste,5056.1797752809
2021-10-01,Belo Horizonte,Pampulha,4058.82352941177
